Text3,Text1,Text,Field,Hempfield_Area_HS_8,Text2
2/3/2024,Stationary Percussion: SOS,McKeesport Area HS,ART-SPERC,"32.100 2
nd",
2/3/2024,Stationary Percussion: SOS,McKeesport Area HS,Total,,64.700
2/3/2024,Stationary Percussion: SAS,Jeannette HS,MUS-SPERC,26.000,
2/3/2024,Stationary Percussion: SAS,Jeannette HS,ART-SPERC,22.900,
2/3/2024,Stationary Percussion: SAS,Jeannette HS,Total,,48.900
2/3/2024,Dance: ICD,Co-Motion,CAD D,"Bronze 1
st",
2/3/2024,Dance: ICD,Co-Motion,CAD D,"Silver 1
st",
2/3/2024,Dance: ICD,Co-Motion,Total,,Silver
2/3/2024,Dance: IRD,Fast Forward,MV70-130-DANCE,"32.280 1
st",
2/3/2024,Dance: IRD,Fast Forward,DES 70/130,"13.080 1
st",
2/3/2024,Dance: IRD,Fast Forward,GE 70/130,"12.810 1
st",
2/3/2024,Dance: IRD,Fast Forward,GE 70/130,"12.940 1
st",
2/3/2024,Dance: IRD,Fast Forward,Total,,71.110
2/3/2024,Dance: IAD,Fast Forward,MV70-130-DANCE,"32.680 1
st",
2/3/2024,Dance: IAD,Fast Forward,DES 10/10,"13.500 1
st",
